Time - Voltage,Pen tracing
0.419,0.361849
0.42,0.376342
0.421,0.317728
0.422,0.370867
0.423,0.30227
0.424,0.187619
0.425,0.236893
0.426,0.199213
0.427,0.186653
0.428,0.185365
0.429,0.077799
0.43,0.0990545
0.431,0.01049
0.432,0.053645
0.433,-0.0532764
0.434,-0.0288004
0.435,-0.0825832
0.436,-0.056819
0.437,-0.0919227
0.438,-0.156977
0.439,-0.106415
0.44,-0.151824
0.441,-0.20754
0.442,-0.235558
0.443,-0.240389
0.444,-0.248762
0.445,-0.198844
0.446,-0.214625
0.447,-0.14957
0.448,-0.168571
0.449,-0.194335
0.45,-0.238457
0.451,-0.231371
0.452,-0.213659
0.453,-0.155045
0.454,-0.203997
0.455,-0.130569
0.456,-0.087736
0.457,-0.128959
0.458,-0.0416825
0.459,-0.119619
0.46,-0.0777524
0.461,-0.0912786
0.462,0.00179459
0.463,0.0253044
0.464,0.0517127
0.465,0.0555774
0.466,0.07168
0.467,0.0826298
0.468,0.138345
0.469,0.176025
0.47,0.19728
0.471,0.278438
0.472,0.263945
0.473,0.3918
0.474,0.340272
0.475,0.395021
0.476,0.369579
0.477,0.472313
0.478,0.418531
0.479,0.479076
0.48,0.48906
0.481,0.534147
0.482,0.558946
0.483,0.525452
0.484,0.555725
0.485,0.543809
0.486,0.545741
0.487,0.571506
0.488,0.596626
0.489,0.588252
0.49,0.621424
0.491,0.563132
0.492,0.594049
0.493,0.496467
0.494,0.5393
0.495,0.480687
0.496,0.435277
0.497,0.484551
0.498,0.419497
0.499,0.411767
0.5,0.412734
0.501,0.432379
0.502,0.363782
0.503,0.378274
0.504,0.322881
0.505,0.319983
0.506,0.270386
0.507,0.25525
0.508,0.265234
0.509,0.222723
0.51,0.207586
0.511,0.189229
0.512,0.138023
0.513,0.106784
0.514,0.0417291
0.515,-0.00207004
0.516,0.0491363
0.517,-0.0420045
0.518,-0.00883314
0.519,-0.0709893
0.52,-0.0397502
0.521,-0.130891
0.522,-0.129281
0.523,-0.137332
0.524,-0.17469
0.525,-0.184996
0.526,-0.201743
0.527,-0.221388
0.528,-0.201743
0.529,-0.217523
0.53,-0.214947
0.531,-0.154723
0.532,-0.18403
0.533,-0.172114
0.534,-0.176622
0.535,-0.0961094
0.536,-0.198522
0.537,-0.112856
0.538,-0.12445
0.539,-0.127671
0.54,-0.10094
0.541,-0.127348
0.542,-0.0803288
0.543,-0.0961094
0.544,-0.0291224
0.545,-0.0561749
0.546,0.00952385
0.547,0.0146767
0.548,0.0414071
0.549,0.0906811
0.55,0.129971
0.551,0.139633
0.552,0.201145
0.553,0.197925
0.554,0.233672
0.555,0.239147
0.556,0.336407
0.557,0.390834
0.558,0.352188
0.559,0.465228
0.56,0.424005
0.561,0.458787
0.562,0.441074
0.563,0.489382
0.564,0.489382
0.565,0.580523
0.566,0.543809
0.567,0.56442
0.568,0.538656
0.569,0.549928
0.57,0.529961
0.571,0.576014
0.572,0.558946
0.573,0.594049
0.574,0.640103
0.575,0.586642
0.576,0.558301
0.577,0.531249
0.578,0.532537
0.579,0.436243
0.58,0.501298
0.581,0.425294
0.582,0.458787
0.583,0.440108
0.584,0.417886
0.585,0.430447
0.586,0.358307
0.587,0.37924
0.588,0.322881
0.589,0.380528
0.59,0.312897
0.591,0.273929
0.592,0.275539
0.593,0.252351
0.594,0.152515
0.595,0.131904
0.596,0.0501025
0.597,0.0774769
0.598,0.0140326
0.599,0.0330337
0.6,-0.00786698
0.601,-0.00207004
0.602,-0.00239209
0.603,-0.0919227
0.604,-0.0742098
0.605,-0.140231
0.606,-0.137976
0.607,-0.172758
0.608,-0.176945
0.609,-0.199166
0.61,-0.147638
0.611,-0.162774
0.612,-0.163418
0.613,-0.259068
0.614,-0.155367
0.615,-0.234914
0.616,-0.204319
0.617,-0.143773
0.618,-0.184674
0.619,-0.0461912
0.62,-0.126382
0.621,-0.0838714
0.622,-0.108991
0.623,-0.0542425
0.624,-0.132501
0.625,-0.0474794
0.626,-0.0487677
0.627,0.01049
0.628,-0.0104434
0.629,0.0439835
0.63,-0.014308
0.631,0.0130664
0.632,0.034966
0.633,0.10936
0.634,0.194382
0.635,0.170228
0.636,0.238503
0.637,0.25525
0.638,0.290676
0.639,0.31805
0.64,0.328678
0.641,0.405648
