Time - Voltage,Read lab report
0.68,1.38984
0.681,1.31963
0.682,1.28743
0.683,1.25941
0.684,1.26682
0.685,1.29097
0.686,1.24814
0.687,1.18759
0.688,1.21432
0.689,1.18566
0.69,1.17246
0.691,1.12157
0.692,1.1351
0.693,1.06521
0.694,1.08904
0.695,1.06972
0.696,1.06231
0.697,1.07326
0.698,1.06908
0.699,1.04396
0.7,1.01433
0.701,1.02238
0.702,1.0446
0.703,1.08325
0.704,1.04557
0.705,1.05748
0.706,1.03107
0.707,1.08711
0.708,0.998548
0.709,1.05781
0.71,1.11127
0.711,1.09613
0.712,1.17535
0.713,1.09388
0.714,1.17761
0.715,1.13735
0.716,1.12672
0.717,1.09259
0.718,1.1351
0.719,1.12737
0.72,1.19693
0.721,1.16891
0.722,1.27551
0.723,1.22817
0.724,1.31416
0.725,1.28292
0.726,1.33992
0.727,1.30031
0.728,1.38984
0.729,1.40916
0.73,1.4549
0.731,1.52188
0.732,1.50546
0.733,1.53283
0.734,1.49837
0.735,1.55409
0.736,1.51383
0.737,1.5834
0.738,1.52607
0.739,1.57406
0.74,1.56504
0.741,1.60111
0.742,1.54249
0.743,1.57695
0.744,1.56053
0.745,1.52993
0.746,1.528
0.747,1.51931
0.748,1.54797
0.749,1.51512
0.75,1.5776
0.751,1.47197
0.752,1.53992
0.753,1.46102
0.754,1.51093
0.755,1.49193
0.756,1.42398
0.757,1.46874
0.758,1.41206
0.759,1.45973
0.76,1.41271
0.761,1.42623
0.762,1.35055
0.763,1.34218
0.764,1.29162
0.765,1.33992
0.766,1.22559
0.767,1.32285
0.768,1.2301
0.769,1.26489
0.77,1.18663
0.771,1.20981
0.772,1.18405
0.773,1.17503
0.774,1.17246
0.775,1.13059
0.776,1.12254
0.777,1.10547
0.778,1.12061
0.779,1.06489
0.78,1.09355
0.781,1.04041
0.782,1.10321
0.783,1.03269
0.784,1.08904
0.785,1.00402
0.786,1.06747
0.787,1.05362
0.788,1.05523
0.789,1.05813
0.79,1.05008
0.791,1.09484
0.792,1.09484
0.793,1.05265
0.794,1.0855
0.795,1.13703
